freq,unique_id,method,kind,mase,smape,rmsse
hourly,H223,naive2,model,0.567345652390273,0.11782142312545289,0.7875416825832187
hourly,H225,naive2,model,1.5245718540580784,0.01082673966660055,1.506556384665114
hourly,H227,naive2,model,0.48906752411575233,0.003985681043419205,0.5148064412984872
hourly,H229,naive2,model,0.3535170413342971,0.0026311511384254135,0.4102164410134394
hourly,H232,naive2,model,0.9642857142857151,0.007286783769542407,0.939922182833943
hourly,H235,naive2,model,1.3546966731898231,0.00837732763954802,1.2942407974199235
hourly,H238,naive2,model,1.7163814180929078,0.0099469850353149,1.6464502757600246
hourly,H24,naive2,model,0.6190470553952586,0.04723541193172911,0.464176213910322
hourly,H241,naive2,model,2.462121212121212,0.0024054370770926117,1.6224980739587964
hourly,H242,naive2,model,0.8338815789473724,0.0018477191207921862,0.8845379626717071
hourly,H244,naive2,model,0.848557999744213,0.12429910635535951,0.859286811786601
hourly,H248,naive2,model,1.384853396198615,0.05216372430765692,1.455960497428697
hourly,H249,naive2,model,1.5665049782997194,0.09313989302591125,1.619968172068701
hourly,H251,naive2,model,0.9160305343511437,0.007905595262763717,0.8802468046440675
hourly,H255,naive2,model,1.5297957817207901,0.0696836627179302,1.6220569218819674
hourly,H256,naive2,model,1.1988707653701443,0.006618393245470098,1.1651153837684367
hourly,H257,naive2,model,1.7995867768595042,0.013454600461628469,1.740201679918869
hourly,H258,naive2,model,1.3890773405698769,0.01087010246064836,1.3270541301544028
hourly,H263,naive2,model,0.2816808929743905,0.002309097989735753,0.373569387839748
hourly,H267,naive2,model,1.5360109005969376,0.06739520686287084,1.6385281376209955
hourly,H27,naive2,model,0.5423401323969219,0.033813109347921,0.47779514201411044
hourly,H271,naive2,model,1.7723387936229664,0.1524993686300815,1.6187772865471384
hourly,H272,naive2,model,1.0872673626872447,0.20718224121290932,1.0726292131502755
hourly,H273,naive2,model,1.784869240348692,0.013785395030658733,1.8551337814193662
hourly,H28,naive2,model,0.8135833551825136,0.04506120973647065,0.5881495394434153
hourly,H282,naive2,model,1.0781990521326994,0.005157430451271892,0.9903038697217941
hourly,H284,naive2,model,0.35366859027205433,0.0024210066614324334,0.41549466288911285
hourly,H288,naive2,model,0.3335925349922219,0.0022650524011316236,0.4330127018922165
hourly,H29,naive2,model,1.4990925770315087,0.0876613906642884,1.2064778260106204
hourly,H290,naive2,model,1.7233035244608104,0.015294511445635248,1.6250871317010651
hourly,H293,naive2,model,1.9072212065813556,0.012055746311011027,1.7271285340046287
hourly,H294,naive2,model,0.44918699186991606,0.003620701794365667,0.5161972755925679
hourly,H297,naive2,model,1.15630397236615,0.009798986609327124,1.1212856698442464
hourly,H298,naive2,model,2.062265331664582,0.015913368911335966,1.9421161161799794
hourly,H299,naive2,model,1.6842889054355932,0.011915211493654218,1.6193783448787498
hourly,H3,naive2,model,1.6515810659616093,0.0958350733419439,1.3383185910397142
hourly,H30,naive2,model,1.2547608993764927,0.06062655548031202,1.1122484285814926
hourly,H301,naive2,model,1.3900470746469429,0.010618092672431967,1.367840873340611
hourly,H306,naive2,model,1.111510791366905,0.009597688692746211,1.108968663395332
hourly,H307,naive2,model,1.188745603751465,0.009871184735172895,1.1367359740497338
hourly,H308,naive2,model,2.4869923857868024,0.019489813073616694,2.3341710866583
hourly,H312,naive2,model,1.2398843930635866,0.010014393210427212,1.1905112654530983
hourly,H314,naive2,model,0.7365439093484403,0.0035981791556661015,0.7651946080597737
hourly,H315,naive2,model,1.4862804878048699,0.0038423820440085256,1.2264932589646373
hourly,H316,naive2,model,1.716479017400204,0.007699732044702466,1.803332307696699
